YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","AREA PLANTED in ACRES","PRODUCTION in $","PRODUCTION in TONS","YIELD in TONS / ACRE"
1973,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","11,970,000"," "," "," "
1974,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,200,000"," "," "," "
1975,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,350,000"," "," "," "
1976,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,950,000"," "," "," "
1977,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,800,000"," "," "," "
1978,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,600,000"," "," "," "
1979,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,750,000"," "," "," "
1980,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","14,000,000"," "," "," "
1981,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","14,400,000"," "," "," "
1982,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,750,000"," "," "," "
1983,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","9,100,000"," "," "," "
1984,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,400,000"," "," "," "
1985,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,900,000"," "," "," "
1986,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,300,000"," "," "," "
1987,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","10,400,000"," "," "," "
1988,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","11,300,000"," "," "," "
1989,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,600,000"," "," "," "
1990,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,800,000"," "," "," "
1991,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,500,000"," "," "," "
1992,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,200,000"," "," "," "
1993,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,000,000"," "," "," "
1994,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,900,000"," "," "," "
1995,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","11,900,000"," "," "," "
1996,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,700,000"," "," "," "
1997,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,200,000"," "," "," "
1998,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,500,000"," "," "," "
1999,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,100,000"," "," "," "
2000,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,300,000"," "," "," "
2001,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","11,700,000"," "," "," "
2002,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,200,000"," "," "," "
2003,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,300,000"," "," "," "
2004,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,700,000"," "," "," "
2005,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,800,000"," "," "," "
2006,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","12,600,000"," "," "," "
2007,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","14,200,000"," "," "," "
2008,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,300,000"," "," "," "
2009,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,600,000"," "," "," "
2010,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,400,000"," "," "," "
2011,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","14,100,000"," "," "," "
2012,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","14,200,000"," "," "," "
2013,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,600,000"," "," "," "
2014,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,700,000"," "," "," "
2015,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","13,700,000"," "," "," "
1866,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,810,000","57,920,000",32," "," "," "," "
1867,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,810,000","74,210,000",41," "," "," "," "
1868,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","1,890,000","76,545,000",40.5," "," "," "," "
1869,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,080,000","69,680,000",33.5," "," "," "," "
1870,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","2,550,000","102,000,000",40," "," "," "," "
1871,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","3,060,000","133,110,000",43.5," "," "," "," "
1872,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","3,360,000","137,760,000",41," "," "," "," "
1873,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","3,600,000","117,000,000",32.5," "," "," "," "
1874,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,150,000","141,100,000",34," "," "," "," "
1875,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","4,600,000","161,000,000",35," "," "," "," "
1876,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","5,200,000","176,800,000",34," "," "," "," "
1877,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","5,800,000","194,300,000",33.5," "," "," "," "
1878,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","6,100,000","247,050,000",40.5," "," "," "," "
1879,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","6,616,000","275,226,000",41.6," "," "," "," "
1880,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","6,950,000","274,525,000",39.5," "," "," "," "
1881,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","6,530,000","195,900,000",30," "," "," "," "
1882,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","6,740,000","205,570,000",30.5," "," "," "," "
1883,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","7,000,000","203,000,000",29," "," "," "," "
1884,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","7,360,000","290,720,000",39.5," "," "," "," "
1885,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","7,580,000","276,670,000",36.5," "," "," "," "
1886,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","7,960,000","230,840,000",29," "," "," "," "
1887,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,120,000","243,600,000",30," "," "," "," "
1888,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,440,000","333,380,000",39.5," "," "," "," "
1889,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,610,000","355,593,000",41.3," "," "," "," "
1890,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,790,000","246,120,000",28," "," "," "," "
1891,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,040,000","366,120,000",40.5," "," "," "," "
1892,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","7,860,000","239,730,000",30.5," "," "," "," "
1893,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,180,000","306,750,000",37.5," "," "," "," "
1894,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,750,000","131,250,000",15," "," "," "," "
1895,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,070,000","353,730,000",39," "," "," "," "
1896,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,160,000","393,880,000",43," "," "," "," "
1897,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,020,000","302,170,000",33.5," "," "," "," "
1898,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,660,000","311,760,000",36," "," "," "," "
1899,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,840,000","345,644,000",39.1," "," "," "," "
1900,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,100,000","409,500,000",45," "," "," "," "
1901,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,460,000","269,610,000",28.5," "," "," "," "
1902,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,560,000","363,280,000",38," "," "," "," "
1903,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,410,000","273,325,000",32.5," "," "," "," "
1904,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,550,000","372,450,000",39," "," "," "," "
1905,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,600,000","398,400,000",41.5," "," "," "," "
1906,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,650,000","439,075,000",45.5," "," "," "," "
1907,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,700,000","339,500,000",35," "," "," "," "
1908,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,350,000","355,300,000",38," "," "," "," "
1909,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,401,000","348,777,000",37.1," "," "," "," "
1910,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,530,000","395,495,000",41.5," "," "," "," "
1911,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,850,000","349,675,000",35.5," "," "," "," "
1912,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,920,000","456,320,000",46," "," "," "," "
1913,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,720,000","364,500,000",37.5," "," "," "," "
1914,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,850,000","398,925,000",40.5," "," "," "," "
1915,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,900,000","321,750,000",32.5," "," "," "," "
1916,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,800,000","372,400,000",38," "," "," "," "
1917,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,500,000","404,250,000",38.5," "," "," "," "
1918,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,800,000","362,600,000",37," "," "," "," "
1919,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,869,000","368,950,000",41.6," "," "," "," "
1920,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,229,000","424,534,000",46," "," "," "," "
1921,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,226,000","396,718,000",43," "," "," "," "
1922,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,787,000","395,415,000",45," "," "," "," "
1923,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,006,000","364,743,000",40.5," "," "," "," "
1924,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,767,000","245,476,000",28," "," "," "," "
1925,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,665,000","424,294,000",43.9," "," "," "," "
1926,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,515,000","371,085,000",39," "," "," "," "
1927,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,035,000","316,225,000",35," "," "," "," "
1928,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,752,000","404,708,000",41.5," "," "," "," "
1929,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,684,000","389,297,000",40.2," "," "," "," "
1930,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,831,000","334,254,000",34," "," "," "," "
1931,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,037,000","330,217,000",32.9," "," "," "," "
1932,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,747,000","462,121,000",43," "," "," "," "
1933,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,435,000","417,400,000",40," "," "," "," "
1934,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","5,701,000","160,768,000",28.2," "," "," "," "
1935,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,962,000","340,556,000",38," "," "," "," "
1936,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","7,445,000","148,900,000",20," "," "," "," "
1937,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,240,000","460,800,000",45," "," "," "," "
1938,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,844,000","452,824,000",46," "," "," "," "
1939,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,960,000","467,712,000",52.2," "," "," "," "
1940,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,624,000","452,760,000",52.5," "," "," "," "
1941,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,616,000","439,416,000",51," "," "," "," "
1942,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,133,000","547,980,000",60," "," "," "," "
1943,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,127,000","556,985,000",55," "," "," "," "
1944,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,397,000","545,842,000",52.5," "," "," "," "
1945,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,924,000","441,618,000",44.5," "," "," "," "
1946,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,600,000","604,200,000",57," "," "," "," "
1947,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,588,000","297,228,000",31," "," "," "," "
1948,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,732,000","649,286,000",60.5," ","850,565,000"," "," "
1949,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","11,101,000","521,747,000",47," ","662,619,000"," "," "
1950,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,396,000","455,706,000",48.5," ","692,673,000"," "," "
1951,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,680,000","421,080,000",43.5," ","677,939,000"," "," "
1952,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,449,000","653,062,000",62.5," ","979,593,000"," "," "
1953,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,811,000","572,983,000",53," ","859,475,000"," "," "
1954,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,014,000","545,763,000",54.5," ","791,356,000"," "," "
1955,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,293,000","499,210,000",48.5," ","718,862,000"," "," "
1956,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,413,000","503,596,000",53.5," ","659,711,000"," "," "
1957,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,860,000","611,320,000",62," ","641,886,000"," "," "
1958,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,782,000","645,612,000",66," ","697,261,000"," "," "
1959,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,139,000","789,035,000",65," ","796,925,000"," "," "
1960,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,166,000","772,541,000",63.5," ","749,365,000"," "," "
1961,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,976,000","753,188,000",75.5," ","820,975,000"," "," "
1962,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,677,000","745,129,000",77," ","812,191,000"," "," "
1963,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,645,000","851,600,000",80," ","894,180,000"," "," "
1964,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,738,000","754,695,000",77.5," ","845,258,000"," "," "
1965,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,933,000","814,506,000",82," ","920,392,000"," "," "
1966,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,132,000","901,748,000",89," ","1,055,045,000"," "," "
1967,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","11,145,000","986,332,000",88.5," ","996,195,000"," "," "
1968,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,775,000","909,075,000",93," ","972,710,000"," "," "
1969,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","9,549,000","945,351,000",99," ","1,049,340,000"," "," "
1970,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,077,000","866,622,000",86," ","1,083,278,000"," "," "
1971,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","11,550,000","1,178,100,000",102," ","1,225,224,000"," "," "
